                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.74529,                0.74381,                 1.2441,                0.85682,                0.79795,                0.86093,                0.64997,                0.80744,                0.63618,                 1.4934,               0.000713,               0.000713,               0.000713
                     67,                0.84468,                0.75181,                 1.3164,                0.84647,                0.73514,                0.83085,                0.65154,                0.81436,                 0.6969,                 1.4445,              0.0006932,              0.0006932,              0.0006932
                     68,                0.76091,                0.71768,                 1.2293,                0.93422,                0.73333,                0.84299,                0.66777,                0.76168,                0.65978,                 1.3797,              0.0006734,              0.0006734,              0.0006734
                     69,                0.78906,                0.74684,                 1.2631,                0.98222,                0.73333,                0.83248,                0.64839,                0.81275,                0.67961,                 1.4361,              0.0006536,              0.0006536,              0.0006536
                     70,                0.76446,                0.68855,                 1.2647,                0.97506,                0.66667,                0.79565,                0.59653,                 0.8823,                0.75018,                 1.5506,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.7062,                0.64984,                 1.1854,                0.96013,                0.68889,                0.85172,                0.67132,                0.76439,                0.63481,                 1.4436,               0.000614,               0.000614,               0.000614
                     72,                0.81603,                0.70487,                 1.3067,                0.97187,                0.71111,                0.85563,                0.65887,                0.78189,                0.62111,                 1.4576,              0.0005942,              0.0005942,              0.0005942
                     73,                0.73525,                 0.6683,                 1.2264,                0.94054,                0.70313,                0.85984,                0.65401,                0.78108,                0.63793,                 1.4669,              0.0005744,              0.0005744,              0.0005744
                     74,                0.67728,                0.68806,                 1.2055,                0.91618,                0.72875,                0.84307,                0.65263,                0.76201,                0.61722,                 1.4578,              0.0005546,              0.0005546,              0.0005546
                     75,                0.68649,                0.63909,                  1.166,                0.91263,                0.69652,                0.82043,                0.63898,                0.75347,                0.63939,                 1.3915,              0.0005348,              0.0005348,              0.0005348
                     76,                0.74917,                0.68403,                 1.2377,                0.86089,                0.68763,                0.80058,                0.65794,                0.76968,                0.74522,                 1.3957,               0.000515,               0.000515,               0.000515
                     77,                0.66097,                0.64546,                 1.1694,                0.92443,                0.64444,                0.78684,                0.65701,                0.80868,                0.76141,                 1.4598,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.6711,                0.64024,                  1.188,                0.87473,                0.68889,                0.80261,                0.65568,                0.96833,                0.70161,                 1.6325,              0.0004754,              0.0004754,              0.0004754
                     79,                0.69326,                0.65401,                 1.1902,                0.93385,                0.71111,                0.82726,                0.67361,                0.95582,                0.63768,                 1.6013,              0.0004556,              0.0004556,              0.0004556
                     80,                0.71728,                0.65474,                 1.1856,                0.88393,                0.75556,                0.86039,                0.67146,                 0.8772,                0.57041,                 1.5128,              0.0004358,              0.0004358,              0.0004358
                     81,                  0.707,                0.65501,                 1.2004,                0.99043,                0.68889,                0.86381,                 0.6793,                0.81294,                0.54066,                 1.4473,               0.000416,               0.000416,               0.000416
                     82,                 0.6608,                0.58238,                 1.1508,                0.97946,                0.73333,                0.87071,                0.69125,                0.77238,                0.55026,                 1.4244,              0.0003962,              0.0003962,              0.0003962
                     83,                0.63826,                0.56987,                 1.1547,                0.94542,                0.77002,                0.88143,                0.70365,                0.79444,                0.53363,                 1.4861,              0.0003764,              0.0003764,              0.0003764
                     84,                0.68011,                0.62706,                 1.2481,                0.90833,                0.73333,                0.85869,                0.66869,                0.85223,                 0.5852,                 1.5482,              0.0003566,              0.0003566,              0.0003566
                     85,                0.67042,                 0.5982,                 1.1704,                 0.8469,                0.75556,                0.83057,                0.63714,                 0.8408,                0.61702,                 1.5076,              0.0003368,              0.0003368,              0.0003368
                     86,                0.64088,                0.58603,                 1.1617,                      1,                0.63905,                0.82815,                0.66835,                0.82695,                0.61076,                 1.4997,               0.000317,               0.000317,               0.000317
